,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
0,74,-37.82383347,144.96424869999998,193/38 Kavanagh Street,SOUTHBANK,13808000,house,2009,3,2,2,SC_101,988,19854,660,0,0,hospital_135,818,S_063,698
1,76,-37.829295,144.968233,70 Coventry Street,SOUTHBANK,9200000,house,2015,3,2,1,SC_101,971,19854,1228,0,0,hospital_135,671,S_016,965
2,99,-37.80937576,144.8882599,1 Chapman Street,SEDDON,7080000,house,2006,3,1,0,SC_043,2932,19997,653,15,0,hospital_056,1817,S_201,1288
3,113,-37.806162,144.893858,1 North Street,SEDDON,12155000,house,2013,3,2,1,SC_043,3168,19997,354,15,0,hospital_056,1599,S_201,705
4,135,-37.787984,144.890538,1/5 Gordon Street,FOOTSCRAY,4070000,house,2011,2,1,1,SC_085,1622,20023,1606,20,0,hospital_003,489,S_201,1565
5,231,-37.80482864,144.890213,110 Pilgrim Street,SEDDON,5600000,house,2009,5,2,0,SC_043,2814,20024,281,18,0,hospital_056,1349,S_201,823
6,357,-37.8000145,144.8910675,141 Geelong Road,FOOTSCRAY,3609000,house,2008,3,1,0,SC_043,2695,20024,279,18,0,hospital_056,878,S_201,616
7,414,-37.796816,144.88887,167 Gordon Street,FOOTSCRAY,6399000,house,2016,2,1,0,SC_043,2432,20023,637,20,0,hospital_056,473,S_201,915
8,494,-37.7977263,144.896197,19 Fitzroy Street,FOOTSCRAY,5530000,house,2011,2,1,1,SC_011,2449,20024,675,18,0,hospital_003,872,S_201,372
9,540,-37.805149,144.888868,2 James Street,SEDDON,7280000,house,2013,2,1,1,SC_043,2725,20024,373,18,0,hospital_056,1358,S_201,942
10,554,-37.790646,144.890808,2/1 Empire Street,FOOTSCRAY,6320000,house,2015,2,1,1,SC_085,1919,20024,1321,18,0,hospital_003,230,S_201,1291
11,573,-37.807482,144.890847,20 Greig Street,SEDDON,7929000,house,2016,3,1,2,SC_043,3004,19997,457,15,0,hospital_056,1649,S_201,979
12,840,-37.79714203,144.9036713,30 Moore Street,FOOTSCRAY,2576000,house,2006,2,1,0,SC_011,1976,20025,441,14,0,hospital_003,1391,S_201,640
13,854,-37.796438,144.883128,31 Dudley Street,FOOTSCRAY,3520000,house,2011,2,1,0,SC_043,1927,20023,628,20,0,hospital_056,456,S_201,1394
14,1025,-37.795135,144.883592,42 Stafford Street,FOOTSCRAY,8190000,house,2015,2,1,0,SC_043,1949,20023,758,20,0,hospital_056,320,S_201,1414
15,1065,-37.802925,144.89175,45 Windsor Street,FOOTSCRAY,5848000,house,2016,3,1,3,SC_043,2853,20024,53,18,0,hospital_056,1195,S_201,602
16,1100,-37.7966423,144.8948669,5 Central Avenue,FOOTSCRAY,8260000,house,2008,3,2,2,SC_011,2454,20024,718,18,0,hospital_003,704,S_201,534
17,1116,-37.807685,144.886476,5 Lawrence Street,SEDDON,11600000,house,2016,3,1,0,SC_043,2695,20023,662,20,0,hospital_056,1620,S_201,1275
18,1247,-37.797583,144.90111299999998,6 Leeds Street,FOOTSCRAY,6885000,house,2016,2,1,0,SC_011,2147,20025,431,14,0,hospital_003,1211,S_201,446
